127.0.0.1 - - [10/Jan/2023:15:59:18 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [10/Jan/2023:15:59:19 +0900] "GET /first_project/ HTTP/1.1" 404 825
0:0:0:0:0:0:0:1 - - [10/Jan/2023:15:59:19 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [10/Jan/2023:15:59:25 +0900] "GET /first_project/board HTTP/1.1" 200 4252
0:0:0:0:0:0:0:1 - - [10/Jan/2023:15:59:25 +0900] "GET /first_project/resources/css/style.css HTTP/1.1" 200 187
0:0:0:0:0:0:0:1 - - [10/Jan/2023:15:59:25 +0900] "GET /first_project/resources/js/common.js HTTP/1.1" 200 568
0:0:0:0:0:0:0:1 - - [10/Jan/2023:15:59:25 +0900] "GET /first_project/resources/js/board/list.js HTTP/1.1" 200 337
0:0:0:0:0:0:0:1 - - [10/Jan/2023:15:59:26 +0900] "GET /first_project/main HTTP/1.1" 200 2328
0:0:0:0:0:0:0:1 - - [10/Jan/2023:16:01:03 +0900] "GET /first_project/board/detail?bno=6 HTTP/1.1" 200 3661
0:0:0:0:0:0:0:1 - - [10/Jan/2023:16:01:03 +0900] "GET /first_project/resources/js/board/detail.js HTTP/1.1" 200 1502
0:0:0:0:0:0:0:1 - - [10/Jan/2023:16:01:05 +0900] "GET /first_project/board? HTTP/1.1" 200 4252
0:0:0:0:0:0:0:1 - - [10/Jan/2023:16:01:06 +0900] "GET /first_project/main HTTP/1.1" 200 2328
0:0:0:0:0:0:0:1 - - [10/Jan/2023:16:01:09 +0900] "GET /first_project/board/ HTTP/1.1" 200 4252
0:0:0:0:0:0:0:1 - - [10/Jan/2023:16:01:13 +0900] "GET /first_project/board/writeForm HTTP/1.1" 200 3149
0:0:0:0:0:0:0:1 - - [10/Jan/2023:16:01:15 +0900] "GET /first_project/member/ HTTP/1.1" 200 1972
0:0:0:0:0:0:0:1 - - [10/Jan/2023:16:01:15 +0900] "GET /first_project/resources/img/login_icon.png HTTP/1.1" 200 18794
0:0:0:0:0:0:0:1 - - [10/Jan/2023:16:01:16 +0900] "POST /first_project/member/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [10/Jan/2023:16:01:16 +0900] "GET /first_project/main HTTP/1.1" 200 2325
0:0:0:0:0:0:0:1 - - [10/Jan/2023:16:01:18 +0900] "GET /first_project/board/ HTTP/1.1" 200 4249
