127.0.0.1 - - [06/Feb/2023:15:14:17 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [06/Feb/2023:15:14:19 +0900] "GET /first_project/ HTTP/1.1" 200 9502
0:0:0:0:0:0:0:1 - - [06/Feb/2023:15:14:19 +0900] "GET /first_project/resources/js/common.js HTTP/1.1" 200 570
0:0:0:0:0:0:0:1 - - [06/Feb/2023:15:14:19 +0900] "GET /first_project/resources/css/style.css HTTP/1.1" 200 205
0:0:0:0:0:0:0:1 - - [06/Feb/2023:15:14:19 +0900] "GET /first_project/resources/img/moon.jpg HTTP/1.1" 200 652084
0:0:0:0:0:0:0:1 - - [06/Feb/2023:15:14:24 +0900] "GET /first_project/main HTTP/1.1" 200 9502
0:0:0:0:0:0:0:1 - - [06/Feb/2023:15:14:26 +0900] "GET /first_project/todo/ HTTP/1.1" 200 3979
0:0:0:0:0:0:0:1 - - [06/Feb/2023:15:14:27 +0900] "GET /first_project/album/ HTTP/1.1" 200 5994
0:0:0:0:0:0:0:1 - - [06/Feb/2023:15:14:27 +0900] "GET /first_project/fileDownload?no=3&imageFileName=linda-xu-278580.jpg&path=album HTTP/1.1" 200 14833
0:0:0:0:0:0:0:1 - - [06/Feb/2023:15:14:27 +0900] "GET /first_project/fileDownload?no=1&imageFileName=background.jpg&path=album HTTP/1.1" 200 87513
0:0:0:0:0:0:0:1 - - [06/Feb/2023:15:14:27 +0900] "GET /first_project/fileDownload?no=2&imageFileName=moon.jpg&path=album HTTP/1.1" 200 652729
0:0:0:0:0:0:0:1 - - [06/Feb/2023:15:14:27 +0900] "GET /first_project/resources/img/icon/icon_next.png HTTP/1.1" 200 16645
0:0:0:0:0:0:0:1 - - [06/Feb/2023:15:14:27 +0900] "GET /first_project/resources/img/icon/icon_prev.png HTTP/1.1" 200 16441
0:0:0:0:0:0:0:1 - - [06/Feb/2023:15:14:27 +0900] "GET /first_project/resources/js/album/list.js HTTP/1.1" 200 342
0:0:0:0:0:0:0:1 - - [06/Feb/2023:15:14:27 +0900] "GET /first_project/diary/ HTTP/1.1" 200 4745
0:0:0:0:0:0:0:1 - - [06/Feb/2023:15:14:27 +0900] "GET /first_project/resources/js/diary/list.js HTTP/1.1" 200 346
0:0:0:0:0:0:0:1 - - [06/Feb/2023:15:14:27 +0900] "GET /first_project/resources/css/diaryStyle.css HTTP/1.1" 200 2258
0:0:0:0:0:0:0:1 - - [06/Feb/2023:15:14:27 +0900] "GET /first_project/board/ HTTP/1.1" 200 6755
0:0:0:0:0:0:0:1 - - [06/Feb/2023:15:14:27 +0900] "GET /first_project/resources/js/board/list.js HTTP/1.1" 200 337
