0:0:0:0:0:0:0:1 - - [16/Jan/2023:11:31:02 +0900] "GET /first_project/boardReply/list?bno=12 HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [16/Jan/2023:11:31:02 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [16/Jan/2023:11:31:10 +0900] "GET /first_project/boardReply/write?bno=12&reply=%ED%99%95%EC%9D%B8 HTTP/1.1" 500 1210
0:0:0:0:0:0:0:1 - - [16/Jan/2023:11:31:32 +0900] "GET /first_project/boardReply/write?bno=12&reply=%ED%99%95%EC%9D%B8%E3%85%87 HTTP/1.1" 500 1210
0:0:0:0:0:0:0:1 - - [16/Jan/2023:11:31:34 +0900] "GET /first_project/board/detail?bno=12 HTTP/1.1" 200 5761
0:0:0:0:0:0:0:1 - - [16/Jan/2023:11:31:35 +0900] "GET /first_project/resources/js/common.js HTTP/1.1" 200 568
0:0:0:0:0:0:0:1 - - [16/Jan/2023:11:31:35 +0900] "GET /first_project/resources/js/reply/board_ReplyService.js HTTP/1.1" 200 1865
0:0:0:0:0:0:0:1 - - [16/Jan/2023:11:31:35 +0900] "GET /first_project/resources/js/board/detail.js HTTP/1.1" 200 1923
0:0:0:0:0:0:0:1 - - [16/Jan/2023:11:31:35 +0900] "GET /first_project/resources/css/style.css HTTP/1.1" 200 484
0:0:0:0:0:0:0:1 - - [16/Jan/2023:11:31:35 +0900] "GET /first_project/boardReply/list?bno=12 HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [16/Jan/2023:11:31:35 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [16/Jan/2023:11:31:39 +0900] "POST /first_project/boardReply/write HTTP/1.1" 500 1285
